Index,Tag,Type,SW Ver.,Time Stamp,Log Interval,Latitude,Longitude,Altitude,DOP,Speed,Battery,Temperature,Light Intensity,Movement,Accelerometer,Alarm,RSSI,Coverage,Retries
1598,Lion: 8530,IR-SAT Tag,72,3/3/2025 6:34,Every 2 hours,-3.515805°,38.088467°,(-),10 meters,0 km/h,3.64 Volt,42°C,(-),Y,"[8895,-1769,13032]",N,0,Y,0
1599,Lion: 8529,IR-SAT Tag,72,3/3/2025 6:41,Every 2 hours,-3.518292°,38.262215°,(-),10 meters,0 km/h,3.64 Volt,37°C,(-),Y,"[14193,7523,2361]",N,0,Y,1
1600,Lion: 8528,IR-SAT Tag,72,3/3/2025 7:00,Every 2 hours,-3.660530°,38.248732°,(-),10 meters,0 km/h,3.69 Volt,41°C,(-),Y,"[15543,4460,-2686]",N,0,Y,1
1601,Lion: 8531,IR-SAT Tag,72,3/3/2025 8:20,Every 2 hours,-3.613238°,38.106825°,(-),10 meters,0 km/h,3.69 Volt,39°C,(-),Y,"[2711,5115,14612]",N,0,Y,0
1602,Lion: 8530,IR-SAT Tag,72,3/3/2025 8:35,Every 2 hours,-3.515838°,38.088477°,(-),10 meters,0 km/h,3.65 Volt,38°C,(-),Y,"[15926,-723,-4832]",N,0,N,2
1603,Lion: 8529,IR-SAT Tag,72,3/3/2025 8:42,Every 2 hours,-3.518018°,38.262737°,(-),<10 meters,3 km/h,3.63 Volt,35°C,(-),Y,"[6102,896,12866]",N,0,Y,0
1604,Lion: 8528,IR-SAT Tag,72,3/3/2025 9:00,Every 2 hours,-3.659145°,38.247452°,(-),10 meters,1 km/h,3.69 Volt,37°C,(-),Y,"[7378,1328,12349]",N,0,Y,0
1605,Lion: 8531,IR-SAT Tag,72,3/3/2025 10:21,Every 2 hours,-3.621742°,38.108590°,(-),<10 meters,0 km/h,3.69 Volt,34°C,(-),Y,"[5149,-7648,12930]",N,0,Y,0
1606,Lion: 8530,IR-SAT Tag,72,3/3/2025 10:36,Every 2 hours,-3.522478°,38.095685°,(-),10 meters,0 km/h,3.64 Volt,33°C,(-),Y,"[2448,-10063,11911]",N,0,Y,0
1607,Lion: 8529,IR-SAT Tag,72,3/3/2025 10:43,Every 2 hours,-3.521357°,38.243025°,(-),10 meters,0 km/h,3.63 Volt,32°C,(-),Y,"[14606,-1390,-6308]",N,0,Y,0
1608,Lion: 8528,IR-SAT Tag,72,3/3/2025 11:00,Every 2 hours,-3.650240°,38.241950°,(-),<10 meters,1 km/h,3.69 Volt,34°C,(-),Y,"[10107,-6767,9831]",N,0,Y,1
1609,Lion: 8531,IR-SAT Tag,72,3/3/2025 12:22,Every 2 hours,-3.627860°,38.115625°,(-),<10 meters,0 km/h,3.69 Volt,31°C,(-),Y,"[6407,-7727,12509]",N,0,Y,0
1610,Lion: 8530,IR-SAT Tag,72,3/3/2025 12:36,Every 2 hours,-3.522505°,38.095698°,(-),10 meters,0 km/h,3.65 Volt,30°C,(-),Y,"[-10317,-796,11606]",N,0,Y,0
1611,Lion: 8529,IR-SAT Tag,72,3/3/2025 12:44,Every 2 hours,-3.532137°,38.241352°,(-),10 meters,0 km/h,3.63 Volt,30°C,(-),Y,"[-13379,725,9007]",N,0,Y,0
1612,Lion: 8528,IR-SAT Tag,72,3/3/2025 13:00,Every 2 hours,-3.650258°,38.241843°,(-),10 meters,0 km/h,3.69 Volt,33°C,(-),Y,"[13828,2186,-8165]",N,0,N,2
1613,Lion: 8531,IR-SAT Tag,72,3/3/2025 14:22,Every 2 hours,-3.656217°,38.111667°,(-),<10 meters,3 km/h,3.69 Volt,30°C,(-),Y,"[5041,-7103,13104]",N,0,Y,0
1614,Lion: 8530,IR-SAT Tag,72,3/3/2025 14:37,Every 2 hours,-3.522253°,38.095883°,(-),<10 meters,0 km/h,3.65 Volt,30°C,(-),Y,"[3420,-6789,13652]",N,0,N,2
1615,Lion: 8529,IR-SAT Tag,72,3/3/2025 14:44,Every 2 hours,-3.537915°,38.229518°,(-),10 meters,3 km/h,3.64 Volt,29°C,(-),Y,"[7731,-1411,13142]",N,0,Y,0
1616,Lion: 8528,IR-SAT Tag,72,3/3/2025 15:00,Every 2 hours,-3.650218°,38.241895°,(-),10 meters,0 km/h,3.69 Volt,31°C,(-),Y,"[2187,-3370,12733]",N,0,Y,0
1617,Lion: 8531,IR-SAT Tag,72,3/3/2025 16:23,Every 2 hours,-3.663347°,38.119400°,(-),10 meters,0 km/h,3.69 Volt,31°C,(-),Y,"[-12867,-2248,8353]",N,0,Y,0
1618,Lion: 8530,IR-SAT Tag,72,3/3/2025 16:37,Every 2 hours,-3.522452°,38.095677°,(-),10 meters,0 km/h,3.64 Volt,31°C,(-),Y,"[-9803,3566,11728]",N,0,Y,0
1619,Lion: 8529,IR-SAT Tag,72,3/3/2025 16:45,Every 2 hours,-3.540920°,38.233395°,(-),10 meters,2 km/h,3.64 Volt,31°C,(-),Y,"[7331,-8135,11301]",N,0,Y,0
1620,Lion: 8528,IR-SAT Tag,72,3/3/2025 17:00,Every 2 hours,-3.650233°,38.241835°,(-),10 meters,1 km/h,3.69 Volt,34°C,(-),Y,"[-3170,-7475,12909]",N,0,Y,0
1621,Lion: 8531,IR-SAT Tag,72,3/3/2025 18:24,Every 2 hours,-3.664537°,38.112888°,(-),<10 meters,3 km/h,3.69 Volt,31°C,(-),Y,"[4778,-5750,13873]",N,0,Y,0
